53070306,4,1
53071206,4,2
53080401,4,3
53012501,4,2
53012703,4,2
53080406,4,3
53020212,4,1
53020314,4,3
53020213,4,1
53020209,4,2
53051001,4,1
53020307,4,3
53070906,4,2
53071301,4,3
53070903,4,3
53071303,4,3
53010301,4,2
53011205,4,2
53080606,4,3
53080603,4,3
53080306,4,3
53080601,4,3
53080304,4,3
53012307,4,2
53080802,4,3
53030201,4,3
53110311,4,3
53012605,4,3
53012606,4,3
53060405,4,1
53060406,4,1
53021707,4,1
53020408,4,1
53020403,4,1
53080507,4,2
53080301,4,3
53080805,4,3
53011901,4,1
53011904,4,2
53011906,4,1
53012404,4,1
53010507,4,3
53010503,4,3
53130101,4,2
53130108,4,2
53130104,4,2
53011008,4,3
53020707,4,1
53060508,4,1
53060507,4,1
53070302,4,2
53070304,4,1
53070301,4,1
53020407,4,2
53051005,4,2
53020207,4,1
53060203,4,1
53020106,4,2
53020301,4,3
53022504,4,3
53051003,4,2
53022505,4,3
53071002,4,1
53071401,4,2
53071006,4,1
53071001,4,1
53070705,4,3
53070802,4,2
53070106,4,1
53070108,4,1
53100306,4,1
53012303,4,2
53011203,4,1
53012708,4,2
53012706,4,3
53130402,4,2
53060905,4,2
53060108,4,1
53060303,4,1
53060403,4,1
53140101,4,2
53021814,4,1
53140301,4,2
53021807,4,1
53021801,4,1
53022701,4,1
53020204,4,1
53020711,4,1
53020501,4,2
53020705,4,2
53020502,4,2
53020708,4,2
53020701,4,1
53080105,4,3
53012506,4,1
53012402,4,1
53012502,4,2
53011803,4,1
53010801,4,2
53060510,4,1
53060502,4,1
53060506,4,1
53020303,4,3
53020203,4,1
53020109,4,1
53022503,4,3
53020201,4,1
53050903,4,1
53022008,4,1
53020205,4,1
53020103,4,1
53020101,4,1
53022005,4,1
53060710,4,1
53060901,4,1
53021809,4,1
53060601,4,2
53022703,4,1
53051202,4,2
53022405,4,3
53170306,4,2
53070701,4,3
53070709,4,3
53070707,4,3
53070609,4,1
53070702,4,3
53070909,4,2
53070910,4,2
53071306,4,3
53080508,4,2
53030804,4,1
53011905,4,1
53080803,4,3
53080801,4,3
53011903,4,1
53080807,4,3
53030206,4,3
53110501,4,3
53030204,4,3
53010506,4,3
53060404,4,1
53060201,4,1
53060206,4,2
53060505,4,1
53060103,4,1
53022506,4,3
53021805,4,1
53020404,4,2
