%tambon_id year business_proxy credit_proxy pca1 pca2 pca3 pca4 population
100304 1994 0.00178890876565295 0 121 74 35 3 559
100305 1986 0 0 39 18 14 2 640
100305 1988 0 0 54 17 12 1 522
100305 1990 0 0 67 37 23 1 508
100305 1992 0 0 92 43 33 1 550
100305 1994 0 1 105 75 73 3 572
100306 1986 0.0017825311942959 0 70 11 8 2 561
100306 1988 0 0 86 37 9 1 562
100306 1990 0 0 89 45 20 1 531
100306 1992 0 1 88 54 33 3 538
100306 1994 0 0 100 72 64 4 488
100307 1986 0.00205973223480947 1 94 25 24 3 971
100307 1988 0.00293255131964809 0 129 41 25 1 1023
100307 1990 0.00253164556962025 1 123 50 22 1 790
100307 1992 0 0 137 81 41 2 774
100307 1994 0.00126742712294043 0 148 84 54 4 789
100310 1986 0 1 100 30 16 2 800
100310 1988 0 0 93 29 15 1 589
100310 1990 0.00176056338028169 0 110 46 23 2 568
100310 1992 0 0 118 60 32 3 606
100310 1994 0 0 121 89 36 4 651
100501 1986 0.00810810810810811 0 58 32 27 8 740
100501 1988 0.0029585798816568 0 93 45 29 3 676
100501 1990 0.00441176470588235 0 130 40 21 4 680
100501 1992 0.00996677740863787 0 114 85 64 5 602
100501 1994 0.0143884892086331 0 169 138 106 7 834
100502 1986 0 0 26 10 16 2 586
100502 1988 0 0 40 13 25 1 566
100502 1990 0 0 68 29 35 1 580
100502 1992 0 1 96 44 45 2 600
100502 1994 0 0 78 30 48 1 491
100503 1986 0 0 88 18 20 2 833
100503 1988 0 0 102 22 22 1 817
100503 1990 0.00133689839572193 0 111 36 35 1 748
100503 1992 0.00286123032904149 0 131 51 38 2 699
100503 1994 0.00483870967741936 0 117 53 33 2 620
100504 1986 0.00224215246636771 0 70 21 28 4 892
100504 1988 0.00328227571115974 0 76 48 34 4 914
100504 1990 0.000915750915750916 0 99 53 54 4 1092
100504 1992 0.00112359550561798 0 133 86 56 5 890
100504 1994 0.00598205383848455 0 129 115 88 5 1003
100505 1986 0.00152905198776758 0 42 26 20 4 654
100505 1988 0.00284900284900285 0 90 32 27 5 702
100505 1990 0.00586510263929619 0 114 42 34 6 682
100505 1992 0.00151057401812689 0 156 74 59 6 662
100505 1994 0.00966183574879227 0 139 83 77 9 621
100506 1986 0.00211416490486258 1 35 13 14 2 473
100506 1988 0 0 53 28 11 1 484
100506 1990 0.00193050193050193 0 64 31 25 1 518
100506 1992 0.00205761316872428 0 86 44 31 2 486
100506 1994 0.00202839756592292 0 95 44 32 2 493
100601 1986 0.00151285930408472 0 71 29 20 2 661
100601 1988 0 0 74 54 25 1 553
100601 1990 0 1 88 69 37 3 586
100601 1992 0 1 84 63 46 2 458
100601 1994 0.002 1 103 85 57 5 500
100603 1986 0 0 119 55 37 2 665
100603 1988 0.00268096514745308 1 412 89 34 2 746
100603 1990 0 1 142 103 48 3 778
100603 1992 0 1 150 125 44 4 789
100603 1994 0.0014367816091954 1 147 110 41 4 696
100605 1986 0 1 104 44 22 3 671
100605 1988 0.00147058823529412 0 114 52 24 2 680
100605 1990 0 1 123 78 28 3 655
100605 1992 0.00333889816360601 1 118 106 32 4 599
100605 1994 0.00316455696202532 1 132 106 37 5 632
100606 1986 0.00122249388753056 1 96 46 19 3 818
100606 1988 0.00492610837438424 1 111 47 21 3 812
100606 1990 0.00110987791342952 0 132 89 26 4 901
100606 1992 0.00333333333333333 1 135 82 33 6 900
100606 1994 0.00347624565469293 1 154 97 40 7 863
100608 1986 0 1 85 44 25 3 605
100608 1988 0.00337268128161889 1 94 45 24 2 593
100608 1990 0 1 103 63 26 4 606
100608 1992 0 1 116 73 43 5 544
100608 1994 0.00444444444444444 1 113 82 39 5 450
100609 1986 0.00562851782363977 1 44 32 9 5 533
100609 1988 0.00536672629695885 1 47 33 12 2 559
100609 1990 0.0103270223752151 0 73 52 13 3 581
100609 1992 0.0130841121495327 0 82 56 14 2 535
100609 1994 0.00481927710843374 1 67 60 11 2 415
100610 1986 0.000909090909090909 0 172 77 26 3 1100
100610 1988 0.000901713255184851 1 216 77 58 4 1109
100610 1990 0.000932835820895522 1 214 119 72 5 1072
100610 1992 0.00112994350282486 1 200 123 87 7 885
100610 1994 0.0069284064665127 1 205 152 94 9 866
100611 1986 0.00111111111111111 1 118 54 53 3 900
100611 1988 0.00110987791342952 0 134 83 54 3 901
100611 1990 0.00204081632653061 1 159 105 53 3 980
100611 1992 0.00234466588511137 1 112 128 86 5 853
100611 1994 0.00266666666666667 1 168 133 76 6 750
100613 1986 0 0 85 26 20 5 754
100613 1988 0 0 95 39 19 2 689
100613 1990 0 1 110 57 24 2 647
100613 1992 0 0 108 74 28 2 531
100613 1994 0 1 110 81 31 3 469
100701 1986 0.00115207373271889 0 110 40 34 3 868
100701 1988 0.00479041916167665 0 143 73 41 3 835
100701 1990 0.00116686114352392 0 144 88 60 4 857
100701 1992 0 0 117 70 59 3 642
100701 1994 0.00138888888888889 1 141 101 73 6 720
100702 1986 0.00116686114352392 0 97 32 23 4 857
100702 1988 0.0023094688221709 1 120 56 26 3 866
100702 1990 0.00233372228704784 1 140 76 37 4 857
100702 1992 0.00112739571589628 0 152 84 35 4 887
100702 1994 0 0 145 84 34 4 847
100703 1986 0.00151515151515152 1 60 32 24 3 660
100703 1988 0.00171821305841924 1 77 38 25 2 582
100703 1990 0.00350877192982456 1 86 55 29 2 570
100703 1992 0.00185185185185185 1 89 53 36 3 540
100703 1994 0.00412371134020619 0 94 49 43 4 485
100704 1986 0.00185528756957328 0 14 13 10 2 539
100704 1988 0 0 28 14 12 1 567
100704 1990 0 0 73 42 10 1 603
100704 1992 0 0 115 85 18 2 809
100704 1994 0 1 104 66 26 2 695
100801 1986 0.00193236714975845 0 91 30 21 1 1035
100801 1988 0.000977517106549365 0 129 42 17 1 1023
100801 1990 0 0 146 103 37 2 1064
100801 1992 0.00204081632653061 0 183 118 58 4 980
100801 1994 0 0 180 120 65 4 971
100802 1986 0 0 52 18 19 2 713
100802 1988 0.00142247510668563 0 90 26 16 1 703
100802 1990 0 0 108 30 29 1 773
100802 1992 0 0 115 81 57 1 718
100802 1994 0 0 147 78 59 1 717
100803 1986 0 0 37 8 17 1 507
100803 1988 0.00202020202020202 0 44 18 17 1 495
100803 1990 0 0 54 36 23 1 479
100803 1992 0.00206611570247934 0 94 46 32 2 484
100803 1994 0.00215982721382289 0 102 64 49 2 463
100804 1986 0 0 67 26 17 2 777
100804 1988 0.00260416666666667 0 110 38 16 1 768
100804 1990 0 0 121 47 26 2 735
100804 1992 0 0 147 78 39 3 907
100804 1994 0 0 165 70 52 3 949
100805 1986 0.00294550810014728 0 51 22 19 3 679
100805 1988 0 0 59 29 14 1 569
100805 1990 0 0 81 41 23 2 620
100805 1992 0.00161030595813205 0 112 64 48 2 621
100805 1994 0 0 126 99 75 3 640
100901 1986 0 1 34 30 19 2 642
100901 1988 0.0015625 0 55 34 14 1 640
100901 1990 0.00190114068441065 0 60 56 19 1 526
100901 1992 0.00180505415162455 0 108 78 20 1 554
100901 1994 0 0 89 68 22 1 427
100904 1986 0.00396039603960396 1 48 31 13 3 505
100904 1988 0 0 74 35 16 1 505
100904 1990 0.0025062656641604 0 81 46 19 1 399
100904 1992 0.00222222222222222 0 89 63 33 2 450
100904 1994 0 1 106 130 35 2 530
100905 1986 0.004739336492891 0 118 88 21 11 844
100905 1988 0.0187734668335419 0 119 80 22 4 799
100905 1990 0.00157232704402516 0 108 56 21 2 636
100905 1992 0 0 107 89 28 2 574
100905 1994 0.00333333333333333 1 111 80 32 4 600
101001 1986 0.00783289817232376 1 159 52 40 5 1149
101001 1988 0.00185013876040703 0 174 58 50 3 1081
101001 1990 0.000904977375565611 1 199 77 67 4 1105
101001 1992 0.000929368029739777 1 186 87 61 4 1076
101001 1994 0.0031104199066874 1 177 82 104 5 643
101002 1986 0 0 64 16 13 4 876
101002 1988 0.00126582278481013 0 78 32 14 2 790
101002 1990 0 0 102 56 30 3 869
101002 1992 0.0025 0 128 89 41 3 800
101002 1994 0 1 121 79 43 3 787
101004 1986 0.00168350168350168 1 81 107 30 2 594
101004 1988 0.0033167495854063 1 101 36 38 2 603
101004 1990 0 1 109 49 38 3 627
101004 1992 0.0125223613595707 0 123 77 58 5 559
101004 1994 0 1 144 97 90 4 684
101005 1986 0 0 140 41 35 3 1008
101005 1988 0.000909918107370337 0 173 50 51 3 1099
101005 1990 0 0 183 81 88 3 1156
101005 1992 0 0 150 68 76 4 858
101005 1994 0.00117647058823529 1 170 104 87 6 850
101006 1986 0 1 73 19 13 2 819
101006 1988 0 1 88 30 18 1 757
101006 1990 0 1 101 56 26 1 772
101006 1992 0.00122249388753056 0 154 90 45 3 818
101006 1994 0 1 121 87 55 2 588
101007 1986 0 1 186 75 50 5 1182
101007 1988 0 1 181 68 48 3 1082
101007 1990 0 1 199 91 62 5 1180
101007 1992 0 0 218 120 65 5 967
101007 1994 0.00109051254089422 1 196 137 115 7 917
101008 1986 0.00251466890192791 1 158 27 27 2 1193
101008 1988 0.00418410041841004 1 174 39 26 1 1195
101008 1990 0.000827129859387924 1 200 60 44 2 1209
101008 1992 0.00147492625368732 0 230 87 47 3 1356
101008 1994 0.00105374077976818 1 271 119 86 4 949
101009 1986 0.00307062436028659 1 106 42 33 2 977
101009 1988 0.000971817298347911 0 153 51 35 1 1029
101009 1990 0.00208768267223382 1 162 60 40 3 958
101009 1992 0.00342857142857143 1 170 59 44 3 875
101009 1994 0.00338218714768884 0 181 98 66 6 887
101010 1986 0 1 190 38 16 2 2029
101010 1988 0.000652315720808871 1 164 42 13 1 1533
101010 1990 0.001318391562294 0 180 94 23 1 1517
101010 1992 0.00173460537727667 1 185 84 21 2 1153
101010 1994 0.00204918032786885 1 196 120 35 3 976
10103 1986 0.00180831826401447 0 17 15 34 2 553
10103 1988 0 0 21 33 36 4 563
10103 1990 0 0 42 47 53 5 516
10103 1992 0 1 63 66 64 8 606
10103 1994 0 1 90 86 77 9 612
10105 1986 0 0 39 23 86 5 781
10105 1988 0 1 65 78 106 13 820
10105 1990 0.00247933884297521 1 106 122 153 19 1210
10105 1992 0 0 79 46 45 4 535
10105 1994 0.0133333333333333 0 160 142 158 21 1050
10106 1986 0.0017636684303351 0 18 20 57 6 567
10106 1988 0.00174825174825175 0 40 36 48 7 572
10106 1990 0 0 60 55 57 10 594
10106 1992 0.00305810397553517 1 76 64 67 12 654
10106 1994 0.00593471810089021 1 114 88 78 12 674
101101 1986 0 0 77 19 15 2 753
101101 1988 0.0466045272969374 0 84 29 16 1 751
101101 1990 0.00116822429906542 0 112 59 15 1 856
101101 1992 0 0 129 67 20 2 785
101101 1994 0 0 162 139 26 3 856
101102 1986 0 0 130 42 28 3 1325
101102 1988 0.000745712155108128 0 146 72 40 3 1341
101102 1990 0 0 143 103 41 3 1215
101102 1992 0.000791765637371338 0 217 127 44 3 1263
101102 1994 0.0017636684303351 0 230 139 56 5 1134
101103 1986 0 0 36 12 9 2 734
101103 1988 0 0 37 13 8 1 727
101103 1990 0.00120048019207683 0 58 42 16 2 833
101103 1992 0.00298507462686567 0 110 61 15 2 670
101103 1994 0.00154798761609907 0 120 74 19 3 646
101104 1986 0.00100502512562814 0 55 10 15 4 995
101104 1988 0.00118063754427391 0 69 20 16 1 847
101104 1990 0.00216919739696312 0 80 46 19 1 922
101104 1992 0.0025 0 139 53 22 1 800
101104 1994 0.00729040097205346 0 148 69 34 3 823
101107 1986 0.00124688279301746 0 29 19 11 3 802
101107 1988 0.00245700245700246 0 48 26 15 1 814
101107 1990 0 0 80 50 15 2 809
101107 1992 0 0 153 68 19 3 858
101107 1994 0 0 141 103 33 5 814
101108 1986 0.00104275286757039 0 43 26 13 2 959
101108 1988 0.0011441647597254 0 64 34 13 1 874
101108 1990 0 0 43 36 12 1 593
101108 1992 0.00107066381156317 0 138 68 23 2 934
101108 1994 0.00478468899521531 0 100 77 25 1 627
10111 1986 0 0 23 16 42 3 467
10111 1988 0.00809716599190283 0 55 32 51 4 494
10111 1990 0 0 81 52 70 6 587
10111 1992 0 0 102 52 75 7 618
10111 1994 0.00318471337579618 0 90 87 87 9 628
10116 1986 0.00244498777506112 0 44 15 63 6 409
10116 1988 0.00697674418604651 0 53 33 72 8 430
10116 1990 0.00867678958785249 0 62 46 35 9 461
10116 1992 0.010989010989011 1 90 63 64 13 546
10116 1994 0.0142566191446029 1 97 79 76 18 491
10117 1986 0.0065252854812398 0 53 26 69 9 613
10117 1988 0.00396301188903567 0 57 55 96 10 757
10117 1990 0.00132450331125828 0 93 75 116 16 755
10117 1992 0.00735294117647059 1 95 79 106 15 680
10117 1994 0.006765899864682 1 124 107 116 20 739
101201 1986 0.0119189511323004 0 80 40 14 6 839
101201 1988 0.0130486358244365 0 89 69 18 3 843
101201 1990 0 0 42 31 12 1 526
101201 1992 0 0 60 54 18 2 466
101201 1994 0 0 106 84 23 4 671
101202 1986 0.00353982300884956 0 73 21 12 9 1130
101202 1988 0.00266903914590747 0 46 32 22 5 1124
101202 1990 0.00403551251008878 0 98 87 35 5 1239
101202 1992 0.00189513581806696 0 181 117 40 4 1583
101202 1994 0.00403458213256484 0 193 103 46 3 1735
101203 1986 0.00263852242744063 0 47 38 23 7 1137
101203 1988 0.00107066381156317 0 60 46 16 3 934
101203 1990 0.00317460317460317 0 64 57 29 2 945
101203 1992 0 1 165 62 23 4 1065
101203 1994 0.00620689655172414 0 178 254 55 6 1450
101204 1986 0.00122249388753056 0 19 19 8 3 818
101204 1988 0.00235849056603774 0 36 33 10 2 848
101204 1990 0.00440528634361234 0 75 40 17 4 1135
101204 1992 0.00171673819742489 0 124 53 20 5 1165
101204 1994 0.00981996726677578 0 132 110 24 3 1222
101302 1986 0 0 36 11 7 1 688
101302 1988 0.00112994350282486 0 48 29 12 1 885
101302 1990 0 0 109 39 13 2 909
101302 1992 0 0 151 93 22 3 823
101302 1994 0.00138312586445367 0 130 101 24 4 723
101303 1986 0 0 15 14 8 2 587
101303 1988 0 0 21 13 11 1 535
101303 1990 0 0 61 32 13 1 598
101303 1992 0.00179856115107914 0 83 64 16 2 556
101303 1994 0.00164744645799012 1 90 64 17 3 607
101401 1986 0.00136612021857923 0 16 9 9 2 732
101401 1988 0.0016750418760469 0 47 21 17 1 597
101401 1990 0.00175746924428822 0 48 26 13 1 569
101401 1992 0 0 102 50 17 1 489
101401 1994 0 0 105 53 30 2 567
101402 1986 0.00505902192242833 0 24 10 7 2 593
101402 1988 0.00289435600578871 0 50 16 12 1 691
101402 1990 0.00323101777059774 0 81 41 18 3 619
101402 1992 0.0053475935828877 0 113 44 19 3 561
101402 1994 0.0116731517509728 0 103 68 34 8 514
101403 1986 0.00204498977505112 0 14 14 8 1 489
101403 1988 0.00392156862745098 0 24 24 16 2 510
101403 1990 0.0110957004160888 0 45 56 21 3 721
101403 1992 0.0462585034013605 0 133 46 37 5 735
101403 1994 0.00562851782363977 0 112 72 28 7 533
10201 1986 0.00189393939393939 0 15 27 40 1 528
10201 1988 0.00704225352112676 0 18 37 35 1 568
10201 1990 0.0137693631669535 0 41 42 75 3 581
10201 1992 0.027027027027027 0 39 35 43 3 555
10201 1994 0.00391389432485323 0 54 51 49 3 511
10202 1986 0 0 16 25 43 2 787
10202 1988 0 0 23 35 47 2 806
10202 1990 0.00121359223300971 0 48 62 52 3 824
10202 1992 0.0128205128205128 0 98 64 68 6 780
10202 1994 0 0 102 81 75 6 673
10204 1986 0 0 13 22 37 2 705
10204 1988 0 0 21 24 35 3 724
10204 1990 0 0 39 64 50 5 687
10204 1992 0.0098314606741573 0 104 84 62 5 712
10204 1994 0 1 118 109 85 7 759
10301 1986 0 0 20 22 28 3 484
10301 1988 0 0 44 36 40 5 534
10301 1990 0.00171232876712329 0 52 59 48 7 584
10301 1992 0.0115606936416185 0 65 69 58 5 519
10301 1994 0.00385356454720617 0 93 87 70 10 519
10302 1986 0.00508905852417303 0 9 14 29 2 393
10302 1988 0.00200400801603206 0 41 20 34 2 499
10302 1990 0.00190839694656489 0 53 25 40 3 524
10302 1992 0.00193050193050193 0 57 31 46 3 518
10302 1994 0.00187617260787992 0 76 44 50 3 533
10304 1986 0 0 28 14 36 4 491
10304 1988 0 0 42 20 38 3 449
10304 1990 0 0 57 41 62 3 539
10304 1992 0 0 85 51 69 5 623
10304 1994 0.00354609929078014 0 105 58 62 9 564
10401 1986 0 0 70 64 48 14 944
10401 1988 0.00237812128418549 0 100 93 75 10 841
10401 1990 0 0 110 102 72 15 742
10401 1992 0.0143979057591623 1 110 112 80 19 764
10401 1994 0.00895522388059702 1 157 136 95 24 670
10402 1986 0 0 8 12 19 2 484
10402 1988 0 0 40 28 17 1 497
10402 1990 0 0 57 32 32 3 587
10402 1992 0 1 51 44 39 3 450
10402 1994 0 1 68 44 39 4 492
10404 1986 0.00115340253748558 0 40 22 45 4 867
10404 1988 0.00210084033613445 0 63 63 46 4 952
10404 1990 0.0033003300330033 0 70 68 59 8 909
10404 1992 0.00192122958693564 1 125 138 70 10 1041
10404 1994 0.00173913043478261 1 148 151 142 19 1150
10405 1986 0 0 13 16 29 5 605
10405 1988 0 1 27 26 29 3 635
10405 1990 0 0 47 44 47 6 912
10405 1992 0 0 58 60 63 6 807
10405 1994 0 0 73 70 79 7 595
10406 1986 0 0 9 12 16 3 414
10406 1988 0 0 19 20 23 1 513
10406 1990 0 0 43 30 40 2 515
10406 1992 0 0 51 37 40 2 728
10406 1994 0 1 58 57 41 3 565
10408 1986 0 0 12 21 32 5 815
10408 1988 0 0 34 26 37 3 754
10408 1990 0 0 57 36 41 4 713
10408 1992 0 0 93 80 64 7 718
10408 1994 0 1 90 91 76 9 720
10501 1986 0.0166177908113392 1 89 60 50 6 1023
10501 1988 0.0230849947534103 1 152 121 61 17 953
10501 1990 0.00983606557377049 1 69 44 42 5 610
10501 1992 0.010351966873706 1 67 55 49 5 483
10501 1994 0.004739336492891 1 102 70 54 7 633
10504 1986 0 0 25 22 50 4 680
10504 1988 0.00118906064209275 0 69 29 56 5 841
10504 1990 0 0 87 66 58 7 873
10504 1992 0 1 101 96 129 10 627
10504 1994 0 1 110 106 120 10 825
10505 1986 0 0 21 25 34 4 677
10505 1988 0 0 55 33 40 4 752
10505 1990 0 0 72 54 54 5 628
10505 1992 0.0033003300330033 1 82 59 55 7 606
10505 1994 0.00301204819277108 1 106 72 62 8 664
10507 1986 0 0 10 19 30 2 480
10507 1988 0 0 36 23 37 1 452
10507 1990 0.0022883295194508 1 56 20 31 2 437
10507 1992 0 1 66 37 38 4 414
10507 1994 0 1 64 54 50 5 424
10508 1986 0.00151285930408472 0 46 28 59 7 661
10508 1988 0.0014903129657228 1 50 42 42 7 671
10508 1990 0.00147058823529412 1 80 77 60 11 680
10508 1992 0.00523560209424084 1 91 89 69 17 764
10508 1994 0.00138121546961326 1 81 108 61 14 724
10509 1986 0 0 53 42 53 3 966
10509 1988 0.0189214758751183 0 132 74 70 7 1057
10509 1990 0.00611620795107034 0 145 109 115 14 981
10509 1992 0.001806684733514 0 155 113 125 16 1107
