village_id,model_ent_1988,data_ent_1988,model_ent_1990,data_ent_1990,model_ent_1992,data_ent_1992,model_ent_1994,data_ent_1994,model_ent_1996,data_ent_1996
49010602,0.023547,0.000000,0.022707,0.024096,0.022095,0.000000,0.021599,0.066667,0.021165,0.002446
49010905,0.023018,0.000000,0.022411,0.011364,0.021932,0.011364,0.021510,0.011765,0.021114,0.009890
49010906,0.022944,0.015152,0.022366,0.016129,0.021907,0.015873,0.021499,0.015873,0.021113,0.094742
49010911,0.035556,0.000000,0.035145,0.032258,0.034735,0.033333,0.034326,0.029412,0.033917,0.031810
49011001,0.022576,0.000000,0.022175,0.022989,0.021796,0.017544,0.021433,0.019231,0.021074,0.058943
49011005,0.020169,0.000000,0.020680,0.031915,0.021120,0.000000,0.021410,0.000000,0.021063,0.001893
49011006,0.035556,0.000000,0.035145,0.000000,0.034735,0.028571,0.034326,0.024390,0.033917,0.029445
49011106,0.035556,0.000000,0.035145,0.048387,0.034735,0.000000,0.034326,0.000000,0.033917,0.045681
49011401,0.035556,0.000000,0.035145,0.000000,0.034735,0.000000,0.034326,0.000000,0.033917,0.002472
49011405,0.023341,0.000000,0.022587,0.000000,0.022032,0.000000,0.021565,0.000000,0.021154,0.005887
49011407,0.018042,0.000000,0.019563,0.024390,0.020654,0.000000,0.021238,0.000000,0.021053,0.004054
49012105,0.035556,0.000000,0.035145,0.000000,0.034735,0.000000,0.034326,0.032258,0.033917,0.026774
49012106,0.016262,0.000000,0.018684,0.000000,0.020167,0.000000,0.021026,0.000000,0.021043,0.003616
49012107,0.023197,0.000000,0.022513,0.000000,0.021982,0.000000,0.021543,0.000000,0.021134,0.042668
49012205,0.023396,0.000000,0.022629,0.000000,0.022055,0.000000,0.021575,0.000000,0.021154,0.005350
49020208,0.020533,0.000000,0.020962,0.000000,0.021350,0.000000,0.021411,0.000000,0.021063,0.002024
49020704,0.013391,0.003623,0.016995,0.000000,0.019227,0.000000,0.020621,0.000000,0.021032,0.001422
49020901,0.035556,0.051282,0.035145,0.047619,0.034735,0.039216,0.034326,0.000000,0.033917,0.004125
49020904,0.035556,0.035294,0.035145,0.000000,0.034735,0.000000,0.034326,0.000000,0.033917,0.001564
49021201,0.022626,0.163043,0.022203,0.081522,0.021819,0.080808,0.021444,0.028986,0.021083,0.475718
49021204,0.020175,0.027523,0.020683,0.008130,0.021121,0.009434,0.021411,0.000000,0.021063,0.009890
49021206,0.022845,0.081633,0.022319,0.009524,0.021880,0.008475,0.021486,0.008475,0.021104,0.028420
49021211,0.019823,0.035088,0.020682,0.016949,0.021121,0.016393,0.021411,0.031746,0.021063,0.017683
49021212,0.035556,0.008547,0.035145,0.000000,0.034735,0.000000,0.034326,0.000000,0.033917,0.017347
49021601,0.020884,0.000000,0.021238,0.000000,0.021579,0.000000,0.021421,0.000000,0.021073,0.004276
49021605,0.019823,0.000000,0.020682,0.000000,0.021121,0.018519,0.021411,0.000000,0.021063,0.001834
49021609,0.018399,0.000000,0.019842,0.000000,0.020656,0.000000,0.021238,0.000000,0.021053,0.003508
49021901,0.035556,0.000000,0.035145,0.005525,0.034735,0.000000,0.034326,0.000000,0.033917,0.001485
49021902,0.022737,0.000000,0.022261,0.006667,0.021844,0.000000,0.021465,0.000000,0.021093,0.081352
49021907,0.015544,0.010417,0.018147,0.000000,0.019939,0.000000,0.020829,0.000000,0.021033,0.002257
49021908,0.035556,0.000000,0.035145,0.000000,0.034735,0.000000,0.034326,0.000000,0.033917,0.003731
49022104,0.020169,0.000000,0.020680,0.000000,0.021120,0.000000,0.021410,0.000000,0.021063,0.100874
49022504,0.022591,0.013333,0.022176,0.012987,0.021796,0.024096,0.021433,0.026667,0.021074,0.046335
49022507,0.035556,0.000000,0.035145,0.000000,0.034735,0.000000,0.034326,0.000000,0.033917,0.047702
49022508,0.023164,0.019608,0.022500,0.000000,0.021983,0.048780,0.021543,0.045455,0.021134,0.040040
49030102,0.035556,0.000000,0.035145,0.031250,0.034735,0.051724,0.034326,0.000000,0.033917,0.003673
49030201,0.023159,0.007692,0.022497,0.051852,0.021981,0.169492,0.021542,0.118644,0.021134,0.017137
49030205,0.022872,0.000000,0.022340,0.028902,0.021896,0.024540,0.021489,0.000000,0.021104,0.001241
49030301,0.035556,0.006536,0.035145,0.028571,0.034735,0.016760,0.034326,0.003460,0.033917,0.019005
49030601,0.022714,0.000000,0.022245,0.000000,0.021843,0.000000,0.021464,0.024390,0.021093,0.013301
49030602,0.022848,0.000000,0.022321,0.022222,0.021881,0.023810,0.021487,0.008333,0.021104,0.001878
49051505,0.022569,0.020134,0.022171,0.020134,0.021794,0.037037,0.021432,0.027491,0.021074,0.071693
49051506,0.022714,0.023810,0.022245,0.023256,0.021843,0.025641,0.021464,0.075949,0.021093,0.047662
