%substr mjrddis roadlength_rank
760102 349 455
131504 351 456
320704 352 457
470106 353 458
221206 355 460
230609 355 460
510508 358 461
301001 359 463
520606 359 463
550202 360 464
490221 361 465
080511 362 467
660118 362 467
270907 364 468
171009 365 471
230201 365 471
630408 365 471
040401 367 473
140304 367 473
160204 368 475
370105 368 475
070510 369 477
180301 369 477
221201 370 482
450410 370 482
480406 370 482
530501 370 482
550901 370 482
450201 371 483
320111 374 485
490118 374 485
740405 375 486
280107 378 487
530125 380 488
323202 382 490
660511 382 490
050712 383 491
510306 384 492
323102 386 493
550305 387 494
100904 388 495
670207 389 496
131510 391 497
360210 392 499
700109 392 499
210303 393 501
311101 393 501
150105 394 503
330404 394 503
160116 396 505
530409 396 505
440215 397 506
050605 399 509
080502 399 509
712803 399 509
170303 401 511
190408 401 511
250605 402 513
450411 402 513
630106 403 514
630307 404 515
510116 405 517
540705 405 517
040207 406 518
220408 408 520
541503 408 520
190608 409 523
360701 409 523
620802 409 523
500110 412 525
600105 412 525
090109 413 526
322104 415 528
630905 415 528
050101 416 531
650510 416 531
690902 416 531
713104 417 532
070304 418 533
390109 419 535
540919 419 535
211205 420 537
322502 420 537
020103 421 538
680706 423 539
051002 425 541
070410 425 541
310404 426 542
130603 429 543
321703 430 545
610107 430 545
211409 431 547
530817 431 547
250306 432 548
140311 433 550
210406 433 550
060108 435 551
210110 436 553
640208 436 553
610501 437 554
220211 438 555
641102 439 557
670205 439 557
120110 440 558
322503 442 559
170306 443 562
211102 443 562
270604 443 562
310706 444 563
510501 445 564
110306 446 565
090406 448 570
160506 448 570
430402 448 570
670403 448 570
760101 448 570
020417 450 572
210508 450 572
210104 451 574
220110 451 574
712018 453 575
060210 454 576
320107 455 580
320403 455 580
451101 455 580
510110 455 580
641201 456 582
660601 456 582
310507 457 584
450710 457 584
090304 458 587
551509 458 587
600810 458 587
300703 459 590
340704 459 590
531304 459 590
310204 460 591
682301 461 592
080302 462 594
470210 462 594
322901 463 597
340501 463 597
750306 463 597
640111 464 598
090106 465 600
320904 465 600
170208 468 603
321001 468 603
480121 468 603
580107 469 605
641702 469 605
120109 471 607
140902 471 607
530410 476 609
530709 476 609
650908 478 610
450709 480 612
680108 480 612
060104 481 614
140119 481 614
650113 484 615
140313 486 619
211601 486 619
311103 486 619
360103 486 619
340801 488 621
682303 488 621
470503 489 623
670111 489 623
321302 491 624
321301 492 625
480609 494 626
323601 495 627
160402 496 629
550604 496 629
450611 497 630
610503 498 631
530405 501 632
740403 502 633
310612 503 635
420606 503 635
380407 505 636
310302 508 637
070517 509 638
231102 510 639
160509 512 641
490201 512 641
520102 513 642
670202 514 643
290501 516 645
680603 516 645
620405 517 646
360105 519 647
530602 520 648
040407 522 651
440107 522 651
480804 522 651
360401 523 652
620105 525 653
010501 526 654
060205 527 657
110703 527 657
140801 527 657
170402 529 660
310108 529 660
710901 529 660
160607 530 664
530315 530 664
530801 530 664
541001 530 664
150301 531 666
400804 531 666
070603 532 668
720201 532 668
070512 533 672
330121 533 672
330714 533 672
580104 533 672
090202 534 674
331512 534 674
190125 535 677
201301 535 677
390203 535 677
370115 536 678
322007 537 679
322701 538 680
080801 539 682
360303 539 682
140506 541 683
630301 542 684
080111 543 688
190202 543 688
231204 543 688
350401 543 688
310704 544 690
620403 544 690
450301 545 693
550605 545 693
750109 545 693
110102 546 694
590202 547 695
270119 548 697
510109 548 697
470701 549 698
620303 550 700
641002 550 700
360102 551 701
190501 552 702
440202 553 703
070605 555 705
570415 555 705
100611 559 707
310801 559 707
270107 560 708
110702 561 710
360302 561 710
630108 563 711
010116 564 713
600702 564 713
160510 565 716
450614 565 716
470404 565 716
171015 566 718
690603 566 718
280502 567 720
360109 567 720
080117 568 724
140503 568 724
270909 568 724
320502 568 724
660108 569 725
490520 570 727
712017 570 727
140614 571 728
131411 572 729
230113 573 731
280111 573 731
040108 574 736
321505 574 736
400202 574 736
470107 574 736
670501 574 736
550704 575 737
190116 577 739
320109 577 739
070401 578 742
271901 578 742
540601 578 742
230403 579 744
550507 579 744
323501 581 745
090201 582 747
420109 582 747
360215 583 748
140113 585 750
470103 585 750
050405 586 752
370113 586 752
080707 588 753
323101 589 754
220506 591 755
230104 594 757
740409 594 757
450503 595 759
530120 595 759
610507 596 761
640907 596 761
660306 597 762
220608 598 764
390508 598 764
440217 600 765
070115 603 766
321701 604 767
190107 605 768
150205 606 770
510204 606 770
360801 607 772
641005 607 772
660107 608 774
710911 608 774
231005 609 775
130115 610 776
140205 611 777
550804 612 778
320803 613 781
323703 613 781
331504 613 781
140108 614 785
260111 614 785
650819 614 785
710824 614 785
682002 615 786
160511 616 787
310305 618 788
740201 619 789
220409 620 790
050717 621 794
210108 621 794
350106 621 794
380113 621 794
250303 623 796
670203 623 796
450701 625 798
550104 625 798
681110 627 799
221302 628 802
322802 628 802
380601 628 802
690406 629 803
630302 630 805
750101 630 805
130506 631 807
190613 631 807
212301 632 808
240201 634 809
160804 638 810
730207 639 811
250302 641 812
530814 642 814
610403 642 814
570202 644 815
311003 646 816
230908 647 820
250606 647 820
322402 647 820
600706 647 820
320101 648 821
331209 649 822
360703 650 823
620805 653 825
670208 653 825
560104 654 826
710411 655 827
500804 656 828
060314 657 829
450415 659 831
600711 659 831
021309 661 834
651101 661 834
710415 661 834
080407 662 835
020416 664 837
080605 664 837
500114 665 838
310605 666 840
520701 666 840
060311 667 841
580310 668 842
590107 670 843
760123 671 844
322303 672 845
140102 673 846
330506 674 847
550509 676 848
270807 679 852
310209 679 852
400105 679 852
740503 679 852
480710 680 853
230116 681 854
740101 682 855
460503 683 857
500117 683 857
040502 685 859
131907 685 859
190206 686 860
070608 687 864
101001 687 864
310107 687 864
340104 687 864
140109 688 865
530415 689 866
480707 690 868
530701 690 868
300103 691 869
270301 692 871
350803 692 871
620605 693 872
231007 694 874
660509 694 874
322206 700 877
520309 700 877
630806 700 877
110614 702 880
220104 702 880
391105 702 880
550510 704 881
050114 707 884
070306 707 884
610402 707 884
321303 709 886
360412 709 886
260104 710 888
370112 710 888
760504 711 889
340107 712 891
580204 712 891
710813 714 892
070604 715 895
140901 715 895
400106 715 895
020501 718 899
350902 718 899
660101 718 899
700110 718 899
320703 719 901
470209 719 901
650801 720 902
200106 721 903
320104 723 904
660308 724 905
070310 726 908
301002 726 908
450114 726 908
680104 727 909
130902 729 912
322006 729 912
490301 729 912
221101 731 915
380116 731 915
390609 731 915
051401 733 916
370503 735 919
660903 735 919
730702 735 919
590113 737 920
140602 740 923
600705 740 923
610405 740 923
322803 742 925
370119 742 925
230111 743 927
650406 743 927
250107 745 929
320304 745 929
450118 748 931
551507 748 931
170612 749 932
190123 750 934
230401 750 934
420201 751 936
491101 751 936
140107 752 938
340607 752 938
350315 753 939
370108 755 940
270802 757 942
310509 757 942
420701 760 944
630507 760 944
310113 762 946
640105 762 946
450705 764 949
450811 764 949
580110 764 949
760108 766 950
510113 768 951
040701 769 953
400702 769 953
660602 770 954
390615 771 955
360304 772 958
530301 772 958
680112 772 958
390407 774 959
340603 776 961
610103 776 961
330507 777 964
370114 777 964
520305 777 964
322005 778 965
080609 779 966
280505 780 968
760408 780 968
131402 781 969
110801 782 971
641213 782 971
230501 783 972
230407 785 974
500406 785 974
300111 786 975
220315 787 976
080406 789 978
080905 789 978
560807 791 979
440408 792 980
350501 793 981
240302 794 982
750602 796 983
250804 797 984
100404 798 985
150114 799 986
171008 800 988
510201 800 988
070504 801 991
170611 801 991
480715 801 991
130405 802 992
310712 804 994
330804 804 994
280103 805 995
210101 810 996
211401 811 997
550402 812 998
171011 813 999
651106 814 1000
050616 817 1001
450401 818 1003
530303 818 1003
530404 819 1004
620404 820 1005
060201 821 1009
220102 821 1009
330109 821 1009
480204 821 1009
370107 822 1010
460106 824 1012
690103 824 1012
250207 825 1015
440401 825 1015
510304 825 1015
130809 827 1016
250702 829 1019
600708 829 1019
650401 829 1019
051301 830 1020
150207 831 1021
600805 832 1022
370708 834 1024
530601 834 1024
110506 835 1025
210402 836 1027
390509 836 1027
320112 837 1029
670401 837 1029
320404 839 1030
271801 840 1033
280102 840 1033
510511 840 1033
270401 841 1034
322703 842 1035
040303 843 1037
320307 843 1037
700608 844 1038
490507 847 1039
201105 848 1040
323302 849 1042
650709 849 1042
270805 850 1043
080608 852 1046
450603 852 1046
680123 852 1046
010106 854 1048
240206 854 1048
220402 855 1050
670508 855 1050
131106 856 1051
510311 858 1052
681111 859 1053
360306 860 1054
080405 862 1056
250604 862 1056
310105 863 1057
531403 864 1058
320405 865 1059
560805 868 1060
530201 869 1062
580307 869 1062
310614 870 1063
730103 871 1064
210401 873 1065
070509 874 1066
440106 875 1067
391104 879 1070
600403 879 1070
620503 879 1070
150108 880 1072
210913 880 1072
360506 881 1073
700502 885 1074
310508 886 1075
130402 887 1076
322204 889 1078
600813 889 1078
750112 890 1079
040205 891 1083
440404 891 1083
640904 891 1083
650906 891 1083
490113 892 1084
050607 895 1087
600709 895 1087
760401 895 1087
480124 898 1088
290503 900 1089
610606 901 1090
670106 903 1091
390621 904 1092
610406 905 1094
660604 905 1094
171010 907 1095
300504 908 1097
480118 908 1097
310301 909 1098
170701 910 1099
330120 912 1102
350303 912 1102
550908 912 1102
320804 913 1103
131307 914 1104
140613 915 1106
620811 915 1106
600116 916 1107
250906 917 1109
440216 917 1109
170401 918 1110
190203 920 1112
510105 920 1112
231203 921 1113
520707 923 1115
630401 923 1115
321601 925 1116
570303 930 1117
320601 931 1118
040301 932 1121
050506 932 1121
350308 932 1121
210501 933 1125
380201 933 1125
400116 933 1125
681601 933 1125
140502 934 1129
320801 934 1129
630114 934 1129
630801 934 1129
010304 937 1131
540114 937 1131
090404 939 1132
021310 940 1135
710112 940 1135
740404 940 1135
031009 941 1137
490102 941 1137
230909 944 1138
670108 945 1139
140617 947 1141
480208 947 1141
750113 949 1142
060206 950 1144
380106 950 1144
490503 951 1145
070803 952 1147
480712 952 1147
270114 953 1148
200705 954 1151
410304 954 1151
570407 954 1151
030212 955 1152
641107 957 1153
310110 958 1155
420302 958 1155
060110 961 1156
310201 962 1159
370601 962 1159
551510 962 1159
120501 963 1160
641109 966 1161
480102 968 1162
300112 969 1163
641207 970 1164
090503 971 1165
620816 974 1166
130114 976 1169
321106 976 1169
630312 976 1169
421106 977 1170
070406 979 1171
060501 982 1174
440501 982 1174
570410 982 1174
230605 985 1176
470502 985 1176
110105 986 1178
600808 986 1178
160110 988 1182
440206 988 1182
600309 988 1182
600707 988 1182
240104 991 1183
681308 992 1184
321702 993 1187
322202 993 1187
641209 993 1187
440207 994 1189
650102 994 1189
350111 996 1190
280303 997 1193
610505 997 1193
630802 997 1193
110304 998 1194
070516 999 1196
740701 999 1196
180205 1000 1199
240108 1000 1199
420706 1000 1199
050109 1001 1202
250307 1001 1202
551006 1001 1202
230109 1002 1204
580201 1002 1204
550401 1003 1205
020201 1005 1209
130602 1005 1209
330401 1005 1209
360114 1005 1209
640405 1006 1211
681804 1006 1211
540712 1007 1213
580208 1007 1213
250304 1008 1214
040302 1009 1216
530322 1009 1216
140104 1010 1219
190423 1010 1219
711608 1010 1219
231002 1011 1221
600304 1011 1221
010105 1013 1223
541007 1013 1223
130601 1015 1225
500305 1015 1225
070507 1016 1227
131906 1016 1227
530321 1018 1228
541201 1021 1229
310413 1024 1230
670104 1026 1232
710104 1026 1232
420718 1027 1233
630112 1030 1235
670304 1030 1235
090307 1032 1236
270601 1033 1237
010601 1034 1239
620714 1034 1239
221602 1035 1242
330402 1035 1242
560111 1035 1242
020311 1036 1243
110501 1037 1244
331403 1039 1246
540509 1039 1246
010507 1041 1247
130209 1043 1250
200611 1043 1250
320702 1043 1250
550909 1045 1252
740606 1045 1252
020304 1046 1254
360501 1046 1254
130909 1047 1257
211315 1047 1257
230304 1047 1257
130107 1048 1258
211417 1049 1259
210703 1050 1260
090301 1051 1261
010401 1053 1262
101004 1054 1264
681112 1054 1264
430204 1057 1267
660310 1057 1267
681702 1057 1267
200506 1059 1268
060305 1060 1269
080305 1061 1272
310606 1061 1272
380121 1061 1272
740504 1062 1273
010403 1063 1275
390202 1063 1275
080802 1065 1277
610508 1065 1277
570306 1067 1278
490405 1068 1279
230408 1069 1283
491003 1069 1283
530123 1069 1283
730108 1069 1283
080514 1071 1287
221102 1071 1287
230107 1071 1287
630704 1071 1287
450901 1072 1288
470102 1073 1289
330715 1075 1290
390113 1076 1291
460501 1078 1293
580202 1078 1293
230302 1080 1294
051104 1082 1295
230207 1084 1297
700610 1084 1297
050403 1086 1298
070601 1091 1300
690802 1091 1300
600106 1092 1301
500502 1093 1302
661103 1095 1303
180107 1096 1304
190607 1098 1305
520101 1101 1306
451201 1102 1308
530218 1102 1308
220101 1103 1310
490603 1103 1310
060606 1108 1312
710414 1108 1312
650104 1109 1313
580306 1110 1314
322210 1111 1315
090604 1112 1316
090504 1114 1318
700205 1114 1318
131603 1115 1320
420502 1115 1320
530308 1117 1321
660401 1120 1322
150204 1121 1324
260106 1121 1324
150201 1122 1327
321005 1122 1327
321704 1122 1327
390620 1126 1328
220504 1127 1331
310501 1127 1331
700103 1127 1331
330511 1130 1332
211505 1132 1335
330522 1132 1335
510405 1132 1335
350801 1133 1337
370201 1133 1337
040106 1134 1339
420904 1134 1339
110602 1136 1340
350108 1138 1341
640508 1139 1342
480713 1140 1345
500503 1140 1345
630105 1140 1345
020301 1141 1347
330605 1141 1347
190209 1143 1349
321103 1143 1349
140806 1147 1351
530401 1147 1351
090105 1148 1353
110504 1148 1353
081003 1149 1354
221402 1150 1356
230601 1150 1356
180106 1152 1357
060805 1153 1359
700208 1153 1359
450609 1154 1361
660605 1154 1361
050301 1155 1363
570402 1155 1363
470206 1157 1364
220106 1158 1368
220205 1158 1368
490508 1158 1368
682001 1158 1368
190410 1160 1370
270306 1160 1370
580211 1162 1371
760402 1165 1372
310617 1167 1373
101002 1168 1375
760301 1168 1375
070116 1171 1376
540403 1172 1377
680113 1174 1378
640205 1176 1379
440504 1177 1380
210909 1178 1382
211201 1178 1382
440211 1179 1383
